F=0.26, T=25 ms
F=0.27, T=25 ms
F=0.28, T=27 ms
F=0.29, T=26 ms
F=0.30, T=28 ms
F=0.31, T=28 ms
F=0.32, T=29 ms
F=0.33, T=30 ms
F=0.34, T=29 ms
F=0.35, T=30 ms
F=0.36, T=29 ms
F=0.37, T=32 ms
F=0.38, T=31 ms
F=0.39, T=32 ms
F=0.40, T=32 ms
F=0.41, T=34 ms
F=0.42, T=33 ms
F=0.43, T=34 ms
F=0.44, T=34 ms
F=0.45, T=36 ms
F=0.46, T=37 ms
F=0.47, T=36 ms
F=0.48, T=38 ms
F=0.49, T=38 ms
F=0.50, T=39 ms
F=0.51, T=40 ms
F=0.52, T=41 ms
F=0.53, T=40 ms
F=0.54, T=41 ms
F=0.55, T=42 ms
F=0.56, T=44 ms
F=0.57, T=44 ms
F=0.58, T=46 ms
F=0.59, T=46 ms
F=0.60, T=47 ms
F=0.61, T=47 ms
F=0.62, T=50 ms
F=0.63, T=52 ms
F=0.64, T=52 ms
F=0.65, T=52 ms
F=0.66, T=55 ms
F=0.67, T=56 ms
F=0.68, T=58 ms
F=0.69, T=59 ms
F=0.70, T=63 ms
F=0.71, T=69 ms
F=0.72, T=66 ms
F=0.73, T=68 ms
F=0.74, T=70 ms
F=0.75, T=76 ms
F=0.76, T=76 ms
F=0.77, T=77 ms
F=0.78, T=82 ms
F=0.79, T=88 ms
F=0.80, T=93 ms
F=0.81, T=94 ms
F=0.82, T=100 ms
F=0.83, T=104 ms
F=0.84, T=109 ms
F=0.85, T=125 ms
F=0.86, T=122 ms
F=0.87, T=131 ms
F=0.88, T=142 ms
F=0.89, T=161 ms
F=0.90, T=170 ms
F=0.91, T=190 ms
F=0.92, T=203 ms
F=0.93, T=228 ms
F=0.94, T=257 ms
F=0.95, T=316 ms
F=0.96, T=363 ms
F=0.97, T=457 ms
F=0.98, T=622 ms



